ID,연령,결혼여부,학력,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,과거통화횟수,요일,경제활동,사용금액,사용횟수,연락월,Target
0,56,결혼,중졸,없음,없음,유선전화,261,1,0,수,비경제활동인구,1722017,41525,1,0
1,56,결혼,미확인,대출있음,없음,유선전화,70,1,0,월,경제활동인구,1722017,41525,2,0
2,53,결혼,고졸,없음,없음,유선전화,189,3,0,금,경제활동인구,1722017,41525,3,0
3,39,결혼,대졸학사,없음,없음,유선전화,496,3,0,목,경제활동인구,1722017,41525,4,0
4,35,이혼,대졸학사,미확인,미확인,유선전화,179,1,0,수,경제활동인구,1722017,41525,5,0
5,35,결혼,대졸학사,대출있음,대출있음,유선전화,161,2,0,일,경제활동인구,1722017,41525,6,0
6,24,미혼,전문학교,없음,없음,유선전화,111,1,0,월,경제활동인구,1722017,41525,7,0
7,51,결혼,석박사,없음,없음,유선전화,912,2,0,토,미확인,1722017,41525,8,0
8,32,결혼,대졸학사,없음,없음,유선전화,361,2,0,토,경제활동인구,1722017,41525,9,0
9,31,결혼,전문학교,없음,없음,유선전화,784,1,0,월,경제활동인구,1722017,41525,10,0
10,38,결혼,검정고시,대출있음,대출있음,유선전화,205,2,0,월,경제활동인구,1722017,41525,12,0
11,51,결혼,대졸학사,없음,없음,유선전화,826,3,0,금,경제활동인구,1722017,41525,1,0
12,39,이혼,고졸,대출있음,없음,유선전화,249,3,0,일,경제활동인구,1722017,41525,2,0
13,52,결혼,대졸학사,없음,없음,유선전화,61,1,0,화,경제활동인구,1722017,41525,1,0
14,26,미혼,전문학교,없음,없음,유선전화,213,4,0,월,경제활동인구,1722017,41525,2,0
15,36,결혼,전문학교,대출있음,없음,유선전화,162,1,0,화,경제활동인구,1722017,41525,4,0
16,53,결혼,고졸,없음,없음,유선전화,181,5,0,목,경제활동인구,1722017,41525,5,0
17,38,미혼,대졸학사,대출있음,대출있음,유선전화,156,1,0,목,경제활동인구,1722017,41525,6,0
18,51,결혼,중졸,대출있음,대출있음,유선전화,394,1,0,금,비경제활동인구,1722017,41525,8,0
19,46,결혼,대졸학사,없음,대출있음,유선전화,103,6,0,목,경제활동인구,1722017,41525,9,0
20,51,결혼,중졸,없음,없음,유선전화,216,1,0,목,경제활동인구,1722017,41525,11,0
21,31,미혼,대졸학사,없음,없음,유선전화,142,3,0,금,경제활동인구,1722017,41525,12,0
22,32,결혼,대졸학사,대출있음,없음,유선전화,70,1,0,월,경제활동인구,1722017,41525,1,0
23,39,미혼,전문학교,대출있음,없음,유선전화,51,2,0,일,경제활동인구,1722017,41525,1,0
24,35,결혼,미확인,없음,없음,유선전화,1224,2,0,수,경제활동인구,1722017,41525,7,1
25,37,결혼,고졸,없음,대출있음,유선전화,246,2,0,목,경제활동인구,1722017,41525,1,0
26,26,미혼,전문학교,대출있음,없음,유선전화,326,1,0,토,경제활동인구,1722017,41525,1,0
27,28,미혼,대졸학사,대출있음,없음,유선전화,1128,3,0,일,경제활동인구,1722017,41525,2,0
28,41,결혼,석박사,없음,없음,유선전화,144,2,0,목,경제활동인구,1722017,41525,3,0
29,29,미혼,고졸,없음,없음,유선전화,333,1,0,목,경제활동인구,1722017,41525,4,0
30,52,결혼,전문학교,대출있음,없음,유선전화,140,1,0,토,경제활동인구,1722017,41525,5,0
31,57,이혼,중졸,대출있음,없음,유선전화,47,1,0,수,경제활동인구,1722017,41525,6,0
32,28,미혼,중졸,없음,없음,유선전화,129,7,0,일,경제활동인구,1722017,41525,7,0
33,38,결혼,전문학교,대출있음,없음,유선전화,173,1,0,목,경제활동인구,1722017,41525,7,0
34,41,이혼,검정고시,대출있음,대출있음,유선전화,343,1,0,일,경제활동인구,1722017,41525,8,0
35,53,미혼,대졸학사,대출있음,없음,유선전화,222,5,0,토,경제활동인구,1722017,41525,9,0
36,30,미혼,석박사,없음,없음,유선전화,509,1,0,수,경제활동인구,1722017,41525,10,0
37,38,결혼,고졸,대출있음,없음,유선전화,227,1,0,수,경제활동인구,1722017,41525,10,0
38,51,결혼,고졸,없음,없음,유선전화,304,2,0,토,경제활동인구,1722017,41525,11,0
39,28,결혼,석박사,없음,없음,유선전화,185,5,0,일,경제활동인구,1722017,41525,12,0
40,41,결혼,전문학교,없음,대출있음,유선전화,863,1,0,토,경제활동인구,1722017,41525,12,0
41,38,결혼,검정고시,없음,없음,유선전화,523,2,0,금,경제활동인구,1722017,41525,1,0
42,57,결혼,검정고시,대출있음,없음,유선전화,353,3,0,토,경제활동인구,1722017,41525,2,0
43,42,이혼,대졸학사,없음,없음,유선전화,305,1,0,화,경제활동인구,1722017,41525,2,0
44,35,결혼,중졸,대출있음,없음,유선전화,125,4,0,목,경제활동인구,1722017,41525,2,0
45,36,미혼,전문학교,대출있음,없음,유선전화,212,1,0,수,경제활동인구,1722017,41525,6,0
46,37,결혼,대졸학사,없음,없음,유선전화,83,2,0,목,경제활동인구,1722017,41525,7,0
47,59,결혼,고졸,대출있음,대출있음,유선전화,429,10,0,일,경제활동인구,1722017,41525,9,0
48,35,결혼,전문학교,없음,없음,유선전화,267,1,0,수,경제활동인구,1722017,41525,12,0
49,41,결혼,중졸,없음,없음,유선전화,513,3,0,월,경제활동인구,1722017,41525,1,0
50,49,결혼,검정고시,없음,대출있음,유선전화,29,4,0,수,경제활동인구,1722017,41525,1,0
